,Year,Named Storms,Named Storm Days,Hurricanes,Hurricanes Days,Cat. 3+ Hurricanes,Cat. 3+ Hurricanes Days â–´,Accumulated Cyclone Energy,fossil.emissions.excluding.carbonation,Coal,Oil,Gas,Cement.emission,Flaring,Other,Per.Capita
0,1980.0,68.0,289.5,38.0,107.75,15.0,19.5,527.1,5320.03644,1925.425097,2445.458246,741.6850195,107.9541252,86.35828112,13.15567012,1.193367485
1,1981.0,72.0,309.0,39.0,113.25,16.0,27.75,569.1,5192.934001,1920.786352,2332.905946,753.9297492,107.8301117,64.74389642,12.73794563,1.144575205
2,1982.0,74.0,314.25,39.0,119.25,18.0,31.0,571.0,5151.681298,1954.243777,2276.170302,737.188865,107.4614931,64.33156468,12.28529544,1.115713673
3,1983.0,74.0,332.0,39.0,119.5,19.0,33.25,577.1,5185.052281,2007.56534,2250.393965,745.8370634,109.9323831,58.14978577,13.17374325,1.103303717
4,1984.0,75.0,334.0,39.0,121.5,19.0,33.75,580.2,5364.824474,2102.722133,2273.937469,810.618423,112.2418886,51.04795906,14.25660175,1.121407074
5,1985.0,77.0,337.5,39.0,125.0,19.0,34.25,581.7,5545.164717,2250.843592,2274.184209,841.7802003,113.6513248,49.62015476,15.08523583,1.138422051
6,1986.0,78.0,345.0,40.0,130.0,20.0,35.5,598.3,5627.626544,2278.320561,2342.824444,825.2352986,118.5413399,46.4251425,16.27975792,1.134472231
7,1987.0,79.0,355.75,41.0,133.0,20.0,36.5,619.2,5804.092395,2357.355774,2365.384092,892.716174,123.7021165,44.62692587,20.30731209,1.1487515
8,1988.0,79.0,356.75,42.0,134.0,20.0,36.5,624.4,6032.041345,2437.971713,2450.508755,937.6104036,130.8149583,50.80064938,24.33486627,1.172311357
9,1989.0,79.0,356.75,42.0,135.75,20.0,37.75,627.5,6115.401888,2444.467376,2493.903969,977.7425062,134.2957841,41.32707824,23.66517467,1.167631528
10,1990.0,79.0,358.0,43.0,138.5,21.0,37.75,634.2,6208.944967,2378.464253,2515.900273,1048.443668,136.2378255,69.0717264,60.82722116,1.165510731
11,1991.0,80.0,360.5,43.0,140.25,21.0,39.75,646.2,6342.276787,2356.030929,2644.886339,1069.617553,139.8967962,73.0697074,58.77546223,1.171395961
12,1992.0,81.0,362.5,44.0,141.0,21.0,39.75,652.7,6159.831954,2301.408179,2507.405926,1081.550913,145.838488,64.75746315,58.87098541,1.12018945
13,1993.0,81.0,378.0,44.0,142.75,21.0,40.5,660.1,6223.661394,2328.117587,2510.553412,1110.838252,151.7214656,63.73352743,58.69715023,1.115032272
14,1994.0,81.0,379.75,44.0,157.25,21.0,40.75,682.2,6267.626463,2341.212915,2520.448909,1120.809633,161.710248,64.69032558,58.75443167,1.106738474
15,1995.0,83.0,391.5,45.0,157.75,21.0,42.75,685.8,6401.185713,2408.039406,2546.907212,1150.397245,171.0018636,64.15514508,60.68484128,1.114371235
16,1996.0,83.0,401.0,46.0,157.75,21.0,43.25,697.8,6592.511246,2469.531305,2622.215435,1201.367989,174.4153093,64.75402094,60.22718701,1.131782581
17,1997.0,84.0,401.25,46.0,158.25,22.0,43.5,702.1,6632.246297,2456.156612,2663.798896,1205.535805,179.8191759,66.28348522,60.65232348,1.123149004
18,1998.0,85.0,403.25,46.0,159.25,22.0,45.0,710.1,6606.515085,2391.285152,2688.417487,1225.256558,178.5839634,63.17591316,59.79601111,1.103883467
19,1999.0,85.0,403.75,46.0,160.75,24.0,45.0,725.7,6691.85652,2373.034829,2749.723518,1261.63773,186.975076,61.1119704,59.37339623,1.103494842
20,2000.0,86.0,404.0,47.0,163.5,24.0,45.75,731.9,6887.065298,2459.741278,2806.932499,1292.260494,195.8663918,73.59447643,58.67015804,1.121033974
21,2001.0,86.0,406.25,47.0,163.75,24.0,48.25,743.5,6946.248498,2473.474836,2831.451712,1305.327193,204.1160007,74.18756649,57.6911897,1.116288818
22,2002.0,88.0,407.0,47.0,164.25,24.0,48.5,756.0,7106.766233,2580.653777,2830.171855,1343.747271,215.2714472,78.30142456,58.62045824,1.12774072
23,2003.0,88.0,407.25,48.0,164.75,24.0,52.5,762.9,7469.083868,2797.753276,2910.462634,1390.935817,231.3558768,78.69159065,59.88467337,1.170485378
24,2004.0,89.0,408.75,48.0,169.5,24.0,54.75,764.3,7813.19133,2974.072759,3006.222036,1437.657899,247.5010133,84.94529983,62.79232229,1.209255315
25,2005.0,89.0,409.0,49.0,170.25,25.0,56.5,769.1,8079.360588,3157.774587,3030.884511,1472.190197,262.0829554,90.64637552,65.78196186,1.235016113
26,2006.0,90.0,416.25,49.0,172.5,25.0,57.0,782.7,8347.033319,3335.764851,3059.245252,1506.391677,285.8807982,91.01979279,68.73094831,1.260211496
27,2007.0,90.0,419.5,50.0,173.0,25.0,60.75,783.2,8595.45349,3496.544109,3069.44229,1557.256844,306.4191622,95.09323335,70.69785179,1.28176587
28,2008.0,90.0,421.75,50.0,176.75,25.0,61.0,785.3,8752.577513,3612.091973,3057.28246,1602.763667,310.7999209,98.91642153,70.72307067,1.289212429
29,2009.0,90.0,441.5,51.0,177.0,26.0,61.25,799.9,8626.376204,3566.361094,3001.978854,1572.074376,319.4558993,100.3138317,66.1921489,1.255153286
30,2010.0,91.0,447.75,51.0,179.75,27.0,61.5,846.3,9100.245757,3812.999868,3085.91503,1693.722826,340.522361,100.1878788,66.89779241,1.308103565
31,2011.0,93.0,452.25,51.0,193.25,27.0,66.25,846.6,9407.328342,4034.177017,3094.216847,1740.697574,366.6178701,96.69838416,74.92064894,1.336041578
32,2012.0,94.0,453.5,51.0,198.5,27.0,67.75,905.7,9545.326186,4080.157429,3138.405736,1776.073245,376.0517634,99.45539334,75.1826192,1.339539224
33,2013.0,95.0,461.0,51.0,204.0,27.0,70.25,929.5,9629.646682,4105.589509,3162.119398,1788.296243,392.6784745,100.9413385,80.02171871,1.335488136
34,2014.0,95.0,461.5,54.0,206.5,28.0,76.75,948.7,9698.264998,4111.054094,3174.736122,1817.722236,407.7108363,104.1110383,82.93067202,1.32938704
35,2015.0,95.0,477.75,55.0,209.25,29.0,80.75,989.8,9687.883826,4016.976696,3242.66672,1852.056449,392.2774387,101.6277049,82.27881769,1.312757471
36,2016.0,96.0,498.75,57.0,215.0,30.0,84.0,1004.8,9675.889546,3919.385352,3263.979014,1901.56456,403.5911798,105.8109753,81.55846575,1.296337214
37,2017.0,98.0,506.25,58.0,224.5,31.0,90.0,1018.2,9805.059412,3944.787579,3310.808035,1942.416522,409.5232816,115.4084293,82.11556603,1.299051759
38,2018.0,99.0,515.5,58.0,226.75,32.0,91.5,1058.5,10001.67571,4016.961035,3326.980011,2035.363523,427.6036391,112.5046645,82.26283306,1.310648196
39,2019.0,101.0,569.25,58.0,233.25,32.0,94.5,1166.3,10017.05865,3977.407044,3337.784336,2061.515779,438.9933841,118.6123144,82.74579571,1.298645243
40,2020.0,103.0,570.5,59.0,263.75,39.0,96.0,1198.4,9499.797789,3814.437298,3021.970771,2019.516755,443.8785389,118.7318641,81.26256169,1.218735481
